patentType,applicantName,year,month,count
发明授权,天津鑫宝龙电梯集团有限公司,2017,10,1
发明授权,上海建工集团股份有限公司,2018,7,1
发明授权,上海振华重工(集团)股份有限公司,2017,10,1
实用新型,苏州纳源环保科技有限公司,2014,3,1
发明授权,深圳市岑科实业有限公司,2015,10,1
发明授权,中国联合网络通信集团有限公司,2017,10,1
发明授权,松下电器产业株式会社,2011,6,1
发明授权,三星电子株式会社,2014,10,1
发明授权,上海华虹宏力半导体制造有限公司,2014,10,1
发明授权,四川长虹电器股份有限公司,2018,4,1
实用新型,瑞安市奥神汽车配件有限公司,2014,11,1
实用新型,湖北中烟工业有限责任公司,2014,2,1
外观专利,唐山红玫瑰陶瓷制品有限公司销售分公司,2017,6,1
发明授权,新日铁住金株式会社,2015,10,1
发明授权,西得乐独资股份公司,2014,8,1
发明公开,平南县六陈镇炳德机械厂,2016,8,1
发明授权,宜兴市军达浆料科技有限公司,2015,10,1
发明授权,广东电网有限责任公司电力科学研究院,2017,10,1
发明授权,北京京东尚科信息技术有限公司,2018,4,1
实用新型,深圳市阿斯盾云科技有限公司,2014,10,1
发明授权,武钢集团昆明钢铁股份有限公司,2014,8,1
发明授权,常州市长润石油有限公司,2018,4,1
发明公开,大赛璐化学工业株式会社,2003,1,1
发明公开,广东新宝电器股份有限公司,2016,9,1
